codigo;ex;tipo;descricao;nacionalfederal;importadosfederal;estadual;municipal;vigenciainicio;vigenciafim;chave;versao;fonte
02101100;;0;"Pernas/pas/pedacos,de suino,n/desossados, salgados,etc.";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02101200;;0;"Barrigas e peitos,entremeados,de suino,salgados,etc.";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02101900;;0;"Outs.carnes de suino,salgadas ou em salmoura,secas,etc.";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02102000;;0;"Carnes de bovinos,salgadas/em salmoura/ secas/defumadas";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02109100;;0;"Carnes e miudezas,de primatas,salgados,etc.";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02109100;01;0;"Miudezas, farinhas e pos dessas miudezas de primatas";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02109200;;0;"Carnes e miudezas,de baleias,golfinhos e botos, peixes-boi e digongos, otarias e focas, leoes-marinhos e morsas,salgados,etc.";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02109200;01;0;"Miudezas, farinhas e pos dessas miudezas de baleias, golfinhos e botos mamiferos da ordem dos cetaceos , de peixes-boi manatins e dugongos mamiferos da ordem dos sirenios , de otarias e focas, leoes-marinhos e morsas mamiferos da subordem dos pinipedes ";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02109300;;0;"Carnes e miudezas,de repteis(incluidas as serpentes e as tartarugas marinhas), salgados,etc.";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02109300;01;0;"Miudezas, farinhas e pos dessas miudezas de repteis incluindo as serpentes e as tartarugas marinhas ";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02109911;;0;"De galos e de galinhas";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02109919;;0;"Outras";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02109920;;0;"Carnes da especie ovina";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02109930;;0;"Carnes da especie cavalar";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02109940;;0;"Miudezas comestiveis";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02109990;;0;"Outras";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
02109990;01;0;"Farinhas e pos das miudezas do codigo 0210.99.40";13.45;19.52;12.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
03011110;;0;"Aruana (peixe ornamental)";13.45;19.52;17.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
03011190;;0;"Outros peixes ornamentais, vivos, de agua doce";13.45;19.52;17.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
03011900;;0;"Outros peixes ornamentais vivos";13.45;19.52;17.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
03019110;;0;"Trutas (salmo trutta e oncorhynchus),para reproducao";13.45;15.45;17.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
03019190;;0;"Outros trutas (salmo trutta e oncorhynchus),vivas";13.45;19.52;17.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
03019210;;0;"Enguias (anguilla spp.) para reproducao";13.45;15.45;17.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
03019290;;0;"Outros enguias (anguilla spp.) vivas";13.45;19.52;17.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
03019310;;0;"Carpas para reproducao";13.45;15.45;17.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
03019390;;0;"Outros carpas vivas";13.45;19.52;17.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
03019410;;0;"Atuns-azuis (thunnus thynnus, thunnus orientalis) para reproducao";13.45;15.45;17.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
03019490;;0;"Outros atuns-azuis (thunnus thynnus, thunnus orientalis)";13.45;19.52;17.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
03019510;;0;"Atuns-do-sul (thunnus maccoyii) para reproducao";13.45;15.45;17.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
03019590;;0;"Outros atuns-do-sul (thunnus maccoyii)";13.45;19.52;17.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
03019911;;0;"Tilapias,peixes para reproducao";13.45;15.45;17.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
03019912;;0;"Esturjoes,peixes para reproducao";13.45;15.45;17.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
03019919;;0;"Outros peixes vivos para reproducao";13.45;15.45;17.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
03019991;;0;"Tilapias,peixes vivos";13.45;19.52;17.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
03019992;;0;"Esturjoes,peixes vivos";13.45;19.52;17.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
03019999;;0;"Outros peixes vivos";13.45;19.52;17.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
03021100;;0;"Trutas frescas,refrig.exc.files,outs. carnes, figados,etc";13.45;19.52;17.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
03021300;;0;"Salmoes-do-pacifico, frescos,refrig. exc.files,etc.";13.45;19.52;17.00;0.00;20/03/2024;30/04/2024;D8CAC2;24.1.C;IBPT/empresometro.com.br
